id,versions,priority,impact,evidence,status,checkpoint,local_action_or_result,vehicle_dependency
V2-08,V2至V3.11,P2,媒体卡空封面不复位,"o/ia.ˏ(Bitmap,String,String)",STATIC_CONFIRMED,,待空值/会话切换复位,真实媒体会话
V3-01,V3.6至V3.11,P0,歌词TICK生命周期不完整,NeteaseLyricsBridge; o/y8; NavBarService,STATIC_CONFIRMED,,待唯一start/stop/reset及旧结果失效,播放退出/熄屏
V3-02,V3.6至V3.11,P0,歌词网络线程及响应大小不受控,NeteaseLyricsBridge.FetchTask/readAll,STATIC_CONFIRMED,,待单工作线程、有界队列、关闭流和连接,网络切换/超时
V3-03,V3.3至V3.11,P0,状态栏双所有者与多个延迟重挂,NavBarService; MainActivity; activity_main,STATIC_CONFIRMED,,基线分支不带入；待功能兼容确认,窗口/合成/OEM事件
V3-04,V3.8至V3.11,P1,UI同步shell及policy_control残留,o/zk; o/vl,STATIC_CONFIRMED,,待独立分支，主线不写全局策略,原值/开关/恢复
V3-05,V3.6至V3.11,P1,800ms限流漏查及同key旧结果回写,NeteaseLyricsBridge.onTrackChanged/FetchTask.run,STATIC_CONFIRMED,,待最新曲目有界调度和generation标记,快速切歌/A-B-A
V3-06,V3.6至V3.11,P1,空播放状态/销毁后回调可重新激活桥接,o/y8.onPlaybackStateChanged; NeteaseLyricsBridge,STATIC_CONFIRMED,,待在桥接前检查管理器与会话身份,播放器退出/服务重建
API-01,原版,REVIEW,127项初筛告警并非127缺陷,signature_findings.csv,REVIEW_REQUIRED,,继承构造器/高版本API调用方待逐项分类,厂商隐藏API/ART
RISK-01,原版,REVIEW,既有8888/底层控制安全风险,PROJECT_MAP 第9节,READONLY_REVIEW_BOUNDARY,,不发送车辆指令；不夹带修改控制能力,不执行车辆写控制测试
BASE-05,原版及所有后续,P1,壁纸解码线程池等待队列无界，快滑可积压旧View,o/ak.<init>/onBindViewHolder；newFixedThreadPool(2),LOCAL_PASS_PENDING_VEHICLE,base05_r1,真实JVM10000提交/关停用例、构建签名回解/JADX/属性、累计10文件和22保护APK核对通过；无新增Android29签名告警,真实解码延时/native是否及时响应中断
BASE-06,原版及所有后续,P0,原版启动/熄屏/设置仍写全局policy_control；与主线隔离要求冲突,o/ea、lII、llI、y9、zk -> o/c0.execAdbCmd；c0.ͳ仅屏蔽日志,LOCAL_PASS_PENDING_VEHICLE,base06_r1,双执行入口、只读设置及残留检测通过 Java/最终 smali 用例；七文件增量、十九文件累计、22保护APK及Android29无新增候选核验通过,当前策略原值/精确恢复和OEM合成
BASE-07,原版及BASE-04/05,P1,解码等待队列有界但UI结果队列仍可积压Bitmap,WallpaperFrameApply.submit每个结果Handler.post；o/sj/o/tj,LOCAL_PASS_PENDING_VEHICLE,base07_r1,WallpaperDelivery可中断等待约束每Adapter最多2个待发布结果；真实JVM并发/销毁/中断/异常及最终包14项回归、12文件累计核验通过,主线程真实负载/内存趋势
BASE-08,原版及所有后续,P1,状态栏添加后初始化异常会丢失已挂载View引用，可能重试叠窗,NavBarService.Ϡ(I)V try_start_5/catch_4；base08_statusbar_failure.json,LOCAL_PASS_PENDING_VEHICLE,base08_r1,44项Java断言、源码/最终各20项实际smali分支与前序回归通过；两文件增量/21文件累计、22保护APK、签名及Android29无新增候选核验通过；JADX旧错误已对照，见manual_audit,实际WindowManager/异常注入/窗口计数
BASE-09,原版及后续,P1,快捷设置关闭不是永久销毁，onDestroy提前调用可能异常中断后续清理；控制器仍有延迟回调,base09_lifecycle_audit.json；Lo/ff.Ά 延迟 selector4 -> Lo/ie.run -> ff.ͻ -> selector0,LOCAL_PASS_PENDING_VEHICLE,base09_r3,r3 成品通过43项Java断言、60入口/15清理分支、前序回归、38文件增量/57累计、22保护APK、签名及Android29无新增候选；见base09_r3_本地修复记录.md,实际动画/服务重建/窗口与队列计数
BASE-10,原版及后续,P1,快捷设置轮询/读状态仍直接new Thread，已启动工作缺少统一限流与取消,ff.ͽ/Ί/Ύ/ˋ；ie selector5轮询及je/x9/ag等后台投递,PARTIAL_LOCAL_PASS,base10_r19,R19 HOME接收器326源码成品组通过，131累计文件；媒体池/重建/旧结果、影像配置、ADB/IME及完整P1/P2/P3未完成。,厂商读取耗时/实际线程数量/重复开闭与内存趋势
BUILD-02,BASE-10 r3/r4/r5,P1,导航轮询队列类别误与仪表初始化相同，等待仪表任务可被替换,je packed-switch + base10_r6_key_manifest.json + modules/read_key_regression_r1/jvm_tests.json,FIXED_LOCAL_PENDING_VEHICLE,base10_r6,只改轮询key1→2，使导航初始/轮询同类、仪表独立；真实JVM生产线程池与源码/成品语义映射通过,实际初始化/轮询显示与长时间资源验证
BUILD-03,BASE-10 r7首次构建,P1,补丁标签匹配同时命中packed-switch载荷导致构建失败,logs/base10_r7_build_failed_label_payload.txt,FIXED_LOCAL,base10_r7,仅插入首个实际标签定义，新增载荷结构检查；重新构建和成品回解通过,无
